Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2019/20,North East,2327,5404782.8,9689484.049999999,244551,490590,169235.26567710552,4363453.047729306,1084393.7356601185,16041707.09906653
2019/20,North West,4406,12874660.15,23777535.349999998,419220,1093574,320434.2847328436,11200839.343492115,2739809.995414679,39551412.97363964
2019/20,Northern Ireland,2458,3905679.4499999997,7324642.1,262150,433455,178762.47659403755,10454907.584652841,2736515.6346987495,21390432.79594563
2019/20,Scotland,5610,23600347.75,44527806.75,369721,1219032,407997.3530075471,10824824.27797728,3095600.952735062,60444982.33371989
2019/20,South East,2367,8360866.899999999,15071652.6,267799,646381,172144.33771280997,4280233.23437455,1270525.116110134,21708735.288197495
2019/20,South West,2651,11860015.15,21660100.349999998,296216,804618,192798.74916631146,2718556.8567025727,1012466.8600289917,26684756.815897875
2019/20,Wales,2362,5995798.85,10721767.4,367816,504836,171780.7037083469,5662033.149673452,1660357.800828455,19088591.054210253
2019/20,West Midlands,5087,17182144.8,29989628.599999998,423367,1230172,369961.23614071164,7312317.809285818,2172630.892155488,41498077.53758202
2019/20,Yorkshire and The Humber,2534,7729207.25,13717062.85,272865,576497,184289.713461876,3603936.6482905014,1187067.977973254,19541719.18972563
2020/21,East Midlands,2588,12713200.1,22347846.4,291355,820454,246896.68617508706,5086604.918460912,997138.4266124276,29790295.431248426
2020/21,East of England,2380,9928176.799999999,16757919.15,282683,678320,227053.3667297941,4258843.081838884,1160137.78547112,23364956.3840398
2020/21,London,3820,20474150.599999998,39520498.4,399863,860960,364430.1936587452,5749175.54119362,1743687.0915630932,48638614.226415455
2020/21,North East,1658,4376622.8,7905371.45,180729,389323,158174.15211680616,2335381.056137838,609652.4062650736,11578631.064519718
2020/21,North West,4130,13294961.35,24957966.05,357113,1021216,394004.3716781722,8467806.876109425,2085927.7382770737,37284034.03606467
2020/21,Northern Ireland,2004,3448093.85,6578471.3,214426,370746,191182.7508094569,9084088.401037622,2482114.7920154613,18921029.24386254
2020/21,Scotland,3901,18035345.9,34187525.3,278461,983606,372157.6401734987,7516016.063720765,2136393.7319450676,45474159.73583933
2020/21,South East,2216,9293571.049999999,17099141.45,224958,629185,211407.6725517747,2813699.457581377,1071967.313775315,22050358.893908467
2020/21,South West,1942,9711476.1,17988385.95,220188,641182,185267.9152055715,1478920.1534881715,629374.7486180826,21143318.767311826
2020/21,Wales,2126,6313447.25,11403195.4,275120,484245,202821.62086871528,4745334.873709482,1466414.1608354957,18577131.055413693
2020/21,West Midlands,4008,15951809.75,27912480.2,336634,1046282,382365.5016189138,4735584.884776404,1522100.7745381093,35935447.36093342
2020/21,Yorkshire and The Humber,1965,6987556.75,12571029.95,200720,494175,187462.12841346447,2147676.4171604007,732046.9426322767,16333110.438206142
2021/22,East Midlands,2540,11862675.65,21174398.45,227220,782254,256539.75706178666,6411470.294432072,1135743.7182198258,29987626.219713684
2021/22,East of England,2397,10653422.299999999,18324016.95,208668,710712,242096.77073901676,5045381.00989998,1201914.622947852,25732789.35358685
2021/22,London,3816,20894998.349999998,40873479.1,310370,781547,385415.63501881016,7653651.549523178,2028480.4932143148,52032943.7777563
2021/22,North East,1682,4644396.6,8552821.549999999,145058,391493,169881.83912516737,4558442.248939566,1050177.8931404818,14867874.531205215
2021/22,North West,4814,15400256.65,29619929.599999998,324127,1121115,486213.5395651342,14374944.42895335,3309115.675235163,49235445.24375364
2021/22,Northern Ireland,1647,2858308.6,5541268.149999999,177955,314761,166346.84247274118,10120453.011279644,2614321.17559089,18935105.179343276
2021/22,Scotland,3025,14366625.2,27592335.349999998,216533,815354,305524.7106739782,8753968.567795744,2217866.186056596,39901581.81452632
2021/22,South East,2227,10003021.85,18669517.3,192484,626244,224926.78699866097,5100770.182824454,1462034.7311890575,26275977.001012173
2021/22,South West,1848,8859640.95,16692465.75,173796,581889,186647.82324810303,2086734.0769164476,794050.8567363122,20515583.506900862
2021/22,Wales,1741,5900024.25,10730156.9,205179,446378,175840.8334821144,5615962.7386247115,1577263.3756292406,18750780.847736068
2021/22,West Midlands,3567,15129641.299999999,26728073.2,260983,925668,360266.6588344067,6583705.510475272,1809431.9810111942,36668128.350320876
2021/22,Yorkshire and The Humber,2062,7601102.05,13968222.549999999,172689,485891,208261.80278008035,4105022.8408070584,1234429.6364780026,20174516.83006514
2022/23,East Midlands,2715,12020066.75,21560426.8,181943,791346,336101.5916008239,8378652.442766454,1590515.0975350202,32838984.9319023
2022/23,East of England,2111,10223910.5,17618086,152645,650557,261329.81947305315,4973687.175887161,1281280.2650309268,24937585.260391142
2022/23,London,3830,20752876.65,40518126.4,270136,735606,474132.2636578842,8419587.4269039,2260811.829443334,52678399.92000511
