Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2024/25,proposition_Foundations,8987,14591807.2,22906662.75,655984,1900737,1591133.4627059693,14753077.948031617,4638143.650466087,46445738.81120367
2024/25,NA,19476,99628768.6,159799773.04999998,957052,12043086,3448193.5372940307,64470140.25759092,19031473.967563666,259749718.8124486
2025/26,proposition_Foundations,4145,8429438.95,12525169.049999999,371745,1112154,522363.36461755045,NA,NA,14531431.41461755
2025/26,NA,8641,56920952.1,86641265,503994,6917858,1088960.6353824495,NA,NA,95152077.63538244
2026/27,proposition_Foundations,1443,3901858.6999999997,5211487.7,165753,522751,NA,NA,NA,5899991.7
2026/27,NA,2850,25701909.849999998,35266240.75,196013,3141206,NA,NA,NA,38603459.75
2027/28,proposition_Foundations,278,1111618.0999999999,1112517.4,45536,152596,NA,NA,NA,1310649.4
2027/28,NA,510,6625334.35,6486262.45,41965,824787,NA,NA,NA,7353014.45
2014/15,proposition_Get A Job,11904,44573632.8,81037793,1180042,4921358,158403.9693989071,18925177.152530458,3578877.3752210964,109801651.49715047
2014/15,NA,32016,137392017.79999998,249600172.7,3802180,13478177,426030.03060109285,46173183.07214188,13321432.793907037,326801175.59665
2015/16,proposition_Get A Job,11854,44333509.5,80575789.95,1175293,4942378,182610.8834735167,20923096.585935865,4053220.2537790793,111852388.67318846
2015/16,NA,32136,136041760.5,247121481.75,3803119,13485783,495055.1165264833,47945175.84879375,14116832.83904409,326967447.5543643
2016/17,proposition_Get A Job,11892,43529831.1,79090992.1,1161870,4930613,638611.6127357201,20991003.945438087,4178166.45885044,110991257.11702424
2016/17,NA,32016,131429868.75,238736343.1,3796313,13209576,1719289.3872642799,52744861.1665636,15491810.773269592,325698193.42709744
2017/18,proposition_Get A Job,12275,43309357.25,78701865.5,1168837,5004256,686213.7016054995,22380267.039321974,4407268.248500446,112348707.48942792
2017/18,NA,32384,121665663.75,220968830.5,3766681,12382554,1810374.2983945007,59483209.86762411,17009831.18109791,315421480.84711653
2018/19,proposition_Get A Job,12616,43924194.55,79914905.6,1202446,5152760,734448.1897143356,22456071.480498463,4520155.972007238,113980787.24222003
2018/19,NA,33137,114955847.05,208728585.7,3756112,11806896,1929090.8102856642,59141707.033161245,17651942.271455687,303014333.8149026
2019/20,proposition_Get A Job,12258,43842559.699999996,79874293.45,1145432,5083482,891529.8326019909,18980683.672540687,4523706.323090489,110499127.27823317
2019/20,NA,27623,97740315.95,177359928.15,3334148,10204407,2009033.167398009,60154585.3271824,16942897.16202528,270004998.8066057
